epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.2633,0.48245,1.42714,7.13591,0.01048,1.6873,0.93715,0.87504,0.96191,0.87293,0.93715,0.87504,0.96161,0.90344,0.46625,0.47633,4.1701,0.01006,0,0.00993506,0.00331169,0.00993506,0.00331169,0.00993506,0.00331169,0.00993506,0.00331169
2,177.295,0.45419,0.48276,1.36645,0.00987,0.09195,0.93754,0.92397,0.97571,0.87296,0.93615,0.92261,0.97474,0.91828,0.5103,0.4894,0.63232,0.01184,0,0.0197377,0.00657924,0.0197377,0.00657924,0.0197377,0.00657924,0.0197377,0.00657924
3,257.434,0.52719,0.47796,0.41459,0.0114,0.10438,0.742,0.68042,0.68377,0.54208,0.74092,0.68159,0.68242,0.59698,0.81917,0.8356,1.34244,0.02038,0,0.0293424,0.00978078,0.0293424,0.00978078,0.0293424,0.00978078,0.0293424,0.00978078
4,337.446,0.54861,0.50233,0.32908,0.0119,0.10899,0.93429,0.90265,0.96289,0.8155,0.92447,0.88655,0.93999,0.83337,0.68798,0.93672,0.46138,0.0166,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,417.565,0.49402,0.46243,0.27174,0.01062,0.092,0.92522,0.90312,0.9514,0.85705,0.92522,0.90312,0.95253,0.8861,0.51237,0.50668,0.49419,0.01155,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,497.598,0.44251,0.40893,0.24094,0.00929,0.07895,0.94646,0.95392,0.98039,0.88864,0.9445,0.95392,0.98062,0.93142,0.47498,0.40766,0.25941,0.01024,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,577.689,0.42383,0.38803,0.20952,0.00895,0.06966,0.97659,0.95831,0.98858,0.92224,0.97659,0.95831,0.9915,0.95553,0.38523,0.33797,0.19892,0.00844,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,657.328,0.39313,0.37364,0.1948,0.00816,0.0615,0.97408,0.96739,0.98946,0.95491,0.97338,0.96794,0.98683,0.95409,0.30344,0.33813,0.16374,0.00641,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,737.598,0.37669,0.36293,0.19129,0.00778,0.05832,0.98754,0.95815,0.98912,0.95381,0.98684,0.95746,0.98904,0.94462,0.31243,0.39512,0.16976,0.00672,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,817.623,0.36453,0.34327,0.18435,0.00753,0.05777,0.97646,0.96226,0.99058,0.96075,0.97076,0.96947,0.98932,0.95789,0.29288,0.33973,0.16553,0.00632,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,897.74,0.35281,0.33017,0.17502,0.00723,0.05221,0.97911,0.96967,0.98984,0.96713,0.97978,0.97035,0.98663,0.9579,0.25979,0.34428,0.14372,0.00553,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,977.915,0.34228,0.32014,0.16523,0.00692,0.04675,0.95882,0.97132,0.9887,0.96975,0.9595,0.97201,0.98847,0.95758,0.25538,0.31781,0.16296,0.00511,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1057.5,0.32391,0.30968,0.16054,0.00654,0.04911,0.98011,0.97922,0.99008,0.97044,0.98011,0.97922,0.99071,0.96182,0.24209,0.29831,0.13526,0.00508,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1137.74,0.32123,0.30762,0.16431,0.00656,0.0478,0.98636,0.96023,0.98946,0.95993,0.98707,0.96092,0.99011,0.96824,0.29887,0.29164,0.1582,0.00628,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1217.95,0.31393,0.29945,0.15783,0.00631,0.0465,0.99021,0.9592,0.99112,0.97257,0.99061,0.96053,0.9897,0.96363,0.24461,0.29749,0.14153,0.00522,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1298.1,0.29995,0.29527,0.1552,0.00602,0.04444,0.97741,0.96461,0.98993,0.97587,0.97546,0.96769,0.98971,0.96227,0.23103,0.30234,0.14611,0.00469,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1378.28,0.29974,0.28191,0.14646,0.00602,0.04288,0.9865,0.96967,0.99033,0.97817,0.9865,0.96967,0.99038,0.96983,0.19876,0.27004,0.12249,0.00411,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1458.46,0.29338,0.2803,0.15331,0.00585,0.04069,0.97823,0.96842,0.99151,0.97735,0.97823,0.96842,0.98986,0.96696,0.21759,0.26593,0.13478,0.00453,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1538.58,0.28465,0.28493,0.15228,0.00566,0.04653,0.9872,0.97531,0.99254,0.97465,0.9872,0.97531,0.99286,0.96788,0.22666,0.29146,0.11813,0.00498,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1618.53,0.28167,0.27919,0.14047,0.00555,0.04092,0.98158,0.97749,0.99067,0.97933,0.98227,0.97818,0.99069,0.97113,0.19529,0.2643,0.11283,0.00412,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1698.87,0.27804,0.26995,0.1346,0.0055,0.03982,0.98269,0.97181,0.98936,0.97713,0.98337,0.9725,0.98939,0.96812,0.20695,0.25857,0.12054,0.00426,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1778.81,0.27192,0.26611,0.13291,0.00535,0.04034,0.99096,0.9719,0.99089,0.97323,0.98959,0.97056,0.99236,0.96619,0.22897,0.27673,0.11691,0.00497,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1858.87,0.2708,0.25859,0.13395,0.00535,0.03803,0.97856,0.98153,0.99067,0.98086,0.9799,0.98288,0.99074,0.9697,0.18426,0.26947,0.11216,0.00384,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1939.02,0.26606,0.26435,0.12746,0.00523,0.04016,0.98808,0.97215,0.99337,0.97927,0.98877,0.97284,0.99365,0.97259,0.18565,0.25044,0.10933,0.00379,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2018.88,0.2719,0.26093,0.13953,0.00534,0.03727,0.98481,0.97146,0.99069,0.98167,0.98618,0.97281,0.99085,0.97251,0.16996,0.24234,0.11581,0.00339,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2099.05,0.26143,0.25979,0.12746,0.00513,0.03814,0.98523,0.98186,0.99133,0.9805,0.98588,0.98252,0.99134,0.97473,0.19685,0.2342,0.1033,0.0044,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2179.12,0.2617,0.25803,0.12773,0.00515,0.03739,0.98869,0.97166,0.99299,0.98112,0.98736,0.97168,0.99079,0.97295,0.18497,0.23928,0.10239,0.00374,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
